catchment,longitude,latitude,mean_sp,mean_ai,mean_si,bfi,q5Frac,low_fdc,mean_low_flow_dur,q95Frac,high_fdc,mean_high_flow_dur
1052,-106.35886,39.67818,0.7790133238210529,1.04735614893813,-0.103577572555566,0.4404495207440817,0.02343999391958653,5.287023359929277,76.578125,6.4264649996199745,11.2821127381156,28.528301886792452
1053,-107.18846,39.10714,0.764786090173684,0.964184358558896,-0.179334892054614,0.5917093895088145,0.14026281532583543,1.8607373712391428,55.98571428571429,4.495603055315238,7.338333865675948,33.976190476190474
1054,-106.62829,38.95066,0.762853148752632,0.971031872841671,0.00104723149237716,0.6577399370525672,0.2616035500336567,1.3861968982862622,18.954887218045112,3.7971560060855345,6.293346216692905,22.97222222222222
1055,-110.54558,42.18357,0.620013942689474,1.6666037123969,-0.149745866257727,0.6804530496184024,0.22901901829012575,1.9420312631268064,18.084615384615383,3.750186424500819,6.258617239228524,18.866666666666667
1056,-110.72223,42.23443,0.721582751578947,1.5217095744828,-0.254432445319012,0.5451676496391539,0.09451137997919629,2.5144346376895133,58.4025974025974,4.867336068928602,8.938254267586894,34.72093023255814
1057,-108.54592,39.89544,0.44234822442631594,2.40180748697942,-0.0415334481419252,0.695296398678231,0.17896180628824648,2.5865086597002076,23.46296296296296,3.3840050643595707,5.320819577875389,21.703703703703702
1058,-111.04445,39.94972,0.596479136184211,1.83236230734784,-0.128322213275145,0.5076803819837135,0.04241732841724809,4.951302059040248,72.31818181818181,4.543677926795066,9.426254649373462,40.45454545454545
1059,-107.53186,37.59993,0.8049313560210529,0.699870419717648,0.17793894042314,0.5800304306068608,0.11410749439035991,2.772588722239771,40.095238095238095,3.9802495740637234,5.909854993032733,12.956521739130435
1060,-112.586,37.41291,0.381347104305263,2.69639300528434,-0.235851362840558,0.7596311276328543,0.2952715083383886,2.4410380830167036,9.608333333333333,2.476254240383303,3.7087600893287673,7.25
1061,-108.18896,33.34026,0.132222977393158,3.09607161239011,0.552876268675688,0.5631097369016465,0.1642821135874245,3.338685434084889,18.51492537313433,3.0870026149098044,5.761353175238875,9.058823529411764
1062,-109.69413,33.14117,0.0373035310647368,5.65297147535298,-0.0952221723253932,0.5936242222501196,0.2915160945115734,1.6939344544433652,14.00943396226415,1.5108484134640685,2.81561885239768,6.703703703703703
1063,-110.6011,31.86758,0.0133787105305263,5.74931998069981,0.401946010651227,0.16742259900962736,0.02275500510093802,5.011051873981472,31.0765306122449,1.882521572000622,9.344563006089013,3.86096256684492
1064,-109.70757,33.86829,0.36732865971578904,1.93720005648242,0.35153447594357,0.6654457038577246,0.2561332217846621,1.6687340042494618,10.865,3.4367488447385006,5.334126899384234,9.894736842105264
1065,-109.83754,33.92041,0.26319281896,2.52494677252361,0.241119889753883,0.631964968784265,0.10145372004401786,4.1506063555137,20.20754716981132,4.033603546911364,6.381355952218401,17.242424242424242
1066,-110.50846,34.04412,0.09455058128421051,3.52420322904547,-0.0163251859156089,0.5916878584804215,0.2692534661807711,1.8656953498257796,12.34375,3.072213133909785,5.919678482237179,4.423728813559322
1067,-110.88509,34.03231,0.0845960133094737,3.3136442510710298,-0.120916879846698,0.3623394273785983,0.11540191576287392,1.8492027056514448,42.684615384615384,3.1008525376071963,9.57694143521238,9.703703703703704
1068,-111.51264,34.70001,0.239218442757895,3.14765574948654,-0.135503474643144,0.4356781884911016,0.24366168872386343,0.4280810683047651,54.149532710280376,4.132534621047562,10.328553444535716,8.573170731707316
